Time,Close,Difference
5/9/2019,38277.1,-195.5
5/10/2019,38228.2,-48.9
5/13/2019,39205.9,977.7
5/14/2019,40281.4,1075.5
5/15/2019,39890.3,-391.1
5/16/2019,39694.7,-195.6
5/17/2019,39694.7,0
5/20/2019,40232.5,537.8
5/21/2019,41356.8,1124.3
5/22/2019,41650.1,293.3
5/23/2019,41845.7,195.6
5/24/2019,41894.6,48.9
5/27/2019,42432.3,537.7
5/28/2019,43997,1564.7
5/29/2019,43410,-587
5/30/2019,43850,440
5/31/2019,43450,-400
6/3/2019,41100,-1798.815661
6/4/2019,41450,350
6/5/2019,42000,550
6/6/2019,41500,-500
6/7/2019,43200,1700
6/10/2019,43250,50
6/11/2019,43300,50
6/12/2019,43400,100
6/13/2019,42150,-1250
6/14/2019,42750,600
6/17/2019,42200,-550
6/18/2019,42500,300
6/19/2019,42850,350
6/20/2019,43600,750
6/21/2019,43200,-400
6/24/2019,42900,-300
6/25/2019,42200,-700
6/26/2019,41550,-650
6/27/2019,41200,-350
6/28/2019,42000,800
7/1/2019,42000,0
7/2/2019,42000,0
7/3/2019,33059,-1798.815661
7/4/2019,33455,396
7/5/2019,33376,-79
7/8/2019,33929,553
7/9/2019,33850,-79
7/10/2019,34206,356
7/11/2019,34562,356
7/12/2019,34720,158
7/15/2019,34601,-119
7/16/2019,33297,-1304
7/17/2019,33613,316
7/18/2019,33613,0
7/19/2019,33257,-356
7/22/2019,33217,-40
7/23/2019,33771,554
7/24/2019,33613,-158
7/25/2019,33850,237
7/26/2019,33811,-39
7/29/2019,33613,-198
7/30/2019,33138,-475
7/31/2019,32941,-197
8/1/2019,32585,-356
8/2/2019,31636,-949
8/5/2019,31675,39
8/6/2019,30687,-988
8/7/2019,31003,316
8/8/2019,31596,593
8/9/2019,31122,-474
8/12/2019,31161,39
8/13/2019,31003,-158
8/14/2019,31003,0
8/15/2019,30528,-475
8/16/2019,30766,238
8/19/2019,30884,118
8/20/2019,30845,-39
8/21/2019,31082,237
8/22/2019,30845,-237
8/23/2019,30528,-317
8/26/2019,29658,-870
8/27/2019,28512,-1146
8/28/2019,28116,-396
8/29/2019,28472,356
8/30/2019,28670,198
9/3/2019,28472,-198
9/4/2019,27800,-672
9/5/2019,27800,0
9/6/2019,27128,-672
9/9/2019,26376,-752
9/10/2019,25546,-830
9/11/2019,25981,435
9/12/2019,27048,1067
9/13/2019,27048,0
9/16/2019,26337,-711
9/17/2019,26099,-238
9/18/2019,26495,396
9/19/2019,26811,316
9/20/2019,26376,-435
9/23/2019,26139,-237
9/24/2019,26218,79
9/25/2019,26258,40
9/26/2019,25981,-277
9/27/2019,25941,-40
9/30/2019,26574,633
10/1/2019,26574,0
10/2/2019,26218,-356
10/3/2019,25941,-277
10/4/2019,26218,277
10/7/2019,25823,-395
10/8/2019,26376,553
10/9/2019,27523,1147
10/10/2019,28037,514
10/11/2019,27760,-277
10/14/2019,27681,-79
10/15/2019,28235,554
10/16/2019,28274,39
10/17/2019,27918,-356
10/18/2019,27444,-474
10/21/2019,27088,-356
10/22/2019,27879,791
10/23/2019,27602,-277
10/24/2019,27918,316
10/25/2019,28156,238
10/28/2019,27760,-396
10/29/2019,27879,119
10/30/2019,27800,-79
10/31/2019,27681,-119
11/1/2019,28868,1187
11/4/2019,28828,-40
11/5/2019,28828,0
11/6/2019,28393,-435
11/7/2019,28630,237
11/8/2019,28551,-79
11/11/2019,28433,-118
11/12/2019,28591,158
11/13/2019,28353,-238
11/14/2019,28156,-197
11/15/2019,27839,-317
11/18/2019,27444,-395
11/19/2019,27483,39
11/20/2019,27523,40
11/21/2019,27523,0
11/22/2019,26732,-791
11/25/2019,26574,-158
11/26/2019,26811,237
11/27/2019,27128,317
11/28/2019,27246,118
11/29/2019,27642,396
12/2/2019,27760,118
12/3/2019,27998,238
12/4/2019,28077,79
12/5/2019,28274,197
12/6/2019,27800,-474
12/9/2019,27404,-396
12/10/2019,27048,-356
12/11/2019,26969,-79
12/12/2019,27365,396
12/13/2019,27365,0
12/16/2019,27048,-317
12/17/2019,26732,-316
12/18/2019,26337,-395
12/19/2019,27048,711
12/20/2019,26772,-276
12/23/2019,27167,395
12/24/2019,26890,-277
12/25/2019,27048,158
12/26/2019,26811,-237
12/27/2019,26811,0
12/30/2019,26811,0
12/31/2019,26693,-118
1/2/2020,27128,435
1/3/2020,26969,-159
1/6/2020,26495,-474
1/7/2020,26455,-40
1/8/2020,25704,-751
1/9/2020,25783,79
1/10/2020,25783,0
1/13/2020,25783,0
1/14/2020,25467,-316
1/15/2020,25190,-277
1/16/2020,26099,909
1/17/2020,25744,-355
1/20/2020,25427,-317
1/21/2020,25902,475
1/22/2020,25941,39
1/30/2020,24162,-1779
1/31/2020,22501,-1661
2/3/2020,21354,-1147
2/4/2020,21117,-237
2/5/2020,20959,-158
2/6/2020,20880,-79
2/7/2020,22145,1265
2/10/2020,21591,-554
2/11/2020,21512,-79
2/12/2020,22066,554
2/13/2020,21750,-316
2/14/2020,21552,-198
2/17/2020,21077,-475
2/18/2020,21275,198
2/19/2020,21275,0
2/20/2020,21354,79
2/21/2020,21275,-79
2/24/2020,19812,-1463
2/25/2020,18902,-910
2/26/2020,18270,-632
2/27/2020,18586,316
2/28/2020,18190,-396
3/2/2020,17558,-632
3/3/2020,17953,395
3/4/2020,19179,1226
3/5/2020,20405,1226
3/6/2020,19733,-672
3/9/2020,18388,-1345
3/10/2020,18190,-198
3/11/2020,17835,-355
3/12/2020,16609,-1226
3/13/2020,16451,-158
3/16/2020,16292,-159
3/17/2020,16767,475
